Codigo,Equipo_A,Equipo_B,Estado,Marcador,Ganador
ALE-PAR,Germany,Paraguay,Por jugar,,
FRA-SUE,France,Sweden,Por jugar,,
CAN-RSA,Canada,South Africa,Confirmado,1-0,Canada
HOL-MAR,Netherlands,Morocco,Por jugar,,
POR-CRO,Portugal,Croatia,Por jugar,,
ESP-AUT,Spain,Austria,Por jugar,,
USA-BOS,United States,Bosnia and Herzegovina,Por jugar,,
BEL-SEN,Belgium,Senegal,Por jugar,,
BRA-JPN,Brazil,Japan,Confirmado,2-1,Brazil
CDV-NOR,Cape Verde,Norway,Por jugar,,
MEX-ECU,Mexico,Ecuador,Por jugar,,
ENG-COD,England,DR Congo,Por jugar,,
ARG-CUW,Argentina,Curacao,Por jugar,,
AUS-EGY,Australia,Egypt,Por jugar,,
SUI-ALG,Switzerland,Algeria,Por jugar,,
COL-GHA,Colombia,Ghana,Por jugar,,
